Order ID,Order Date,Customer ID,Customer Name,Customer Type,Segment,Region,State,City,Category,Sub-Category,Product ID,Product Name,Sales,Quantity,Discount,Cost,Profit,Returned,First Purchase Date
O000089,2023-01-11,C0368,Customer 0368,New,Consumer,South,Karnataka,Bengaluru,Office Supplies,Paper,P006,Notebook Pack,1105.47,3,0.1,384.99,720.48,No,2023-01-11
O000096,2023-01-11,C1102,Customer 1102,New,Corporate,East,Odisha,Bhubaneswar,Technology,Accessories,P012,Mechanical Keyboard,2762.95,1,0.05,1221.58,1541.37,No,2023-01-11
O000114,2023-01-11,C0422,Customer 0422,New,Consumer,East,Bihar,Patna,Technology,Accessories,P018,Noise Cancelling Headset,5054.09,1,0.15,2276.05,2778.04,No,2023-01-11
O000128,2023-01-11,C0805,Customer 0805,New,Consumer,North,Rajasthan,Jaipur,Office Supplies,Paper,P006,Notebook Pack,368.39,1,0.15,129.74,238.65,No,2023-01-11
O000140,2023-01-11,C1213,Customer 1213,New,Corporate,East,Bihar,Patna,Office Supplies,Paper,P006,Notebook Pack,347.12,1,0.15,126.66,220.46,No,2023-01-11
O000027,2023-01-12,C1165,Customer 1165,New,Consumer,East,Jharkhand,Ranchi,Office Supplies,Writing,P010,Premium Pen Set,576.26,1,0.1,238.15,338.11,No,2023-01-12
O000045,2023-01-12,C0448,Customer 0448,New,Corporate,West,Gujarat,Surat,Office Supplies,Paper,P007,Printer Paper Box,714.58,1,0.1,289.85,424.73,No,2023-01-12
O000055,2023-01-13,C0421,Customer 0421,New,Small Business,North,Delhi,Delhi,Technology,Storage,P017,External SSD 1TB,7473.27,1,0.0,4000.24,3473.03,No,2023-01-10
O000137,2023-01-13,C0224,Customer 0224,New,Small Business,North,Uttar Pradesh,Lucknow,Technology,Accessories,P011,Wireless Mouse,1026.28,1,0.05,444.46,581.82,No,2023-01-13
O000080,2023-01-14,C1439,Customer 1439,New,Consumer,South,Tamil Nadu,Chennai,Furniture,Storage,P004,Bookshelf,7555.91,1,0.0,3384.62,4171.29,No,2023-01-14
O000139,2023-01-14,C0068,Customer 0068,New,Consumer,West,Maharashtra,Pune,Office Supplies,Storage,P009,File Organizer,434.06,1,0.15,155.38,278.68,No,2023-01-09
O000099,2023-01-15,C0968,Customer 0968,New,Consumer,South,Karnataka,Bengaluru,Office Supplies,Binders,P008,Stapler Set,220.49,1,0.1,78.24,142.25,No,2023-01-15
O000113,2023-01-15,C0519,Customer 0519,New,Corporate,North,Rajasthan,Jaipur,Furniture,Storage,P004,Bookshelf,14662.66,2,0.0,6451.91,8210.75,No,2023-01-15
O000029,2023-01-16,C0342,Customer 0342,New,Consumer,North,Chandigarh,Chandigarh,Technology,Accessories,P011,Wireless Mouse,2982.1,3,0.1,1168.25,1813.85,No,2023-01-16
O000032,2023-01-16,C1376,Customer 1376,New,Small Business,East,Bihar,Patna,Office Supplies,Lighting,P005,LED Desk Lamp,2571.62,2,0.15,1123.77,1447.86,No,2023-01-16
O000079,2023-01-16,C0189,Customer 0189,New,Consumer,North,Uttarakhand,Dehradun,Technology,Accessories,P012,Mechanical Keyboard,2479.3,1,0.1,1069.53,1409.76,No,2023-01-16
O000103,2023-01-16,C0379,Customer 0379,New,Small Business,South,Tamil Nadu,Chennai,Furniture,Office Furniture,P001,Laptop Stand,928.33,1,0.2,370.75,557.58,No,2023-01-16
O000126,2023-01-16,C1465,Customer 1465,New,Consumer,North,Chandigarh,Chandigarh,Technology,Monitors,P013,27-inch Monitor,16331.92,1,0.1,8013.22,8318.7,No,2023-01-16
O000143,2023-01-16,C0282,Customer 0282,New,Consumer,North,Uttar Pradesh,Lucknow,Technology,Monitors,P013,27-inch Monitor,14657.2,1,0.15,7683.94,6973.25,No,2023-01-16
O000144,2023-01-16,C0666,Customer 0666,New,Corporate,West,Gujarat,Ahmedabad,Office Supplies,Paper,P006,Notebook Pack,425.23,1,0.0,153.54,271.69,No,2023-01-16
O000082,2023-01-17,C0711,Customer 0711,New,Corporate,East,Bihar,Patna,Technology,Accessories,P018,Noise Cancelling Headset,22893.46,4,0.1,10544.48,12348.98,No,2023-01-17
O000127,2023-01-17,C0176,Customer 0176,New,Consumer,North,Uttarakhand,Dehradun,Office Supplies,Storage,P009,File Organizer,511.94,1,0.1,189.75,-16.11,Yes,2023-01-17
O000042,2023-01-18,C0606,Customer 0606,New,Corporate,West,Maharashtra,Mumbai,Office Supplies,Paper,P006,Notebook Pack,406.83,1,0.05,149.01,257.82,No,2023-01-18
O000046,2023-01-18,C0254,Customer 0254,New,Consumer,South,Tamil Nadu,Coimbatore,Office Supplies,Binders,P008,Stapler Set,285.15,1,0.0,99.84,185.3,No,2023-01-18
O000091,2023-01-18,C0899,Customer 0899,New,Consumer,West,Gujarat,Surat,Furniture,Tables,P003,Office Desk,21501.69,2,0.15,10591.26,10910.43,No,2023-01-18
O000095,2023-01-18,C0961,Customer 0961,New,Corporate,East,Bihar,Patna,Technology,Accessories,P012,Mechanical Keyboard,5275.12,2,0.1,2380.51,2894.61,No,2023-01-18
O000101,2023-01-18,C0670,Customer 0670,New,Corporate,North,Rajasthan,Jaipur,Office Supplies,Binders,P008,Stapler Set,239.51,1,0.1,87.26,152.26,No,2023-01-18
O000108,2023-01-18,C0689,Customer 0689,New,Corporate,West,Maharashtra,Mumbai,Office Supplies,Lighting,P005,LED Desk Lamp,1355.88,1,0.1,567.47,788.41,No,2023-01-18
O000142,2023-01-18,C1177,Customer 1177,New,Corporate,South,Karnataka,Bengaluru,Furniture,Office Furniture,P001,Laptop Stand,2155.81,2,0.1,921.14,1234.67,No,2023-01-18
O000001,2023-01-19,C1151,Customer 1151,New,Consumer,South,Karnataka,Bengaluru,Office Supplies,Storage,P009,File Organizer,1591.99,3,0.05,608.02,983.97,No,2023-01-19
O000014,2023-01-19,C0154,Customer 0154,New,Consumer,North,Uttarakhand,Dehradun,Technology,Accessories,P011,Wireless Mouse,1121.47,1,0.0,443.93,677.54,No,2023-01-19
O000019,2023-01-19,C0864,Customer 0864,New,Consumer,North,Delhi,Delhi,Furniture,Office Furniture,P001,Laptop Stand,2017.31,2,0.15,880.09,1137.22,No,2023-01-19
O000063,2023-01-19,C0840,Customer 0840,New,Consumer,North,Uttarakhand,Dehradun,Office Supplies,Paper,P006,Notebook Pack,840.66,2,0.1,296.93,543.73,No,2023-01-19
O000121,2023-01-19,C1290,Customer 1290,New,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Paper,P007,Printer Paper Box,1516.98,2,0.0,630.17,886.81,No,2023-01-19
O000044,2023-01-20,C0367,Customer 0367,New,Small Business,North,Uttarakhand,Dehradun,Office Supplies,Binders,P008,Stapler Set,250.05,1,0.05,96.94,153.12,No,2023-01-20
O000053,2023-01-20,C0323,Customer 0323,New,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Lighting,P005,LED Desk Lamp,1305.22,1,0.1,558.35,746.88,No,2023-01-20
O000078,2023-01-20,C1105,Customer 1105,New,Corporate,South,Karnataka,Bengaluru,Furniture,Chairs,P002,Ergonomic Chair,29010.69,4,0.2,13436.59,15574.1,No,2023-01-20
O000122,2023-01-20,C1134,Customer 1134,New,Corporate,East,Bihar,Patna,Technology,Accessories,P014,USB-C Hub,1798.12,1,0.15,783.7,1014.42,No,2023-01-20
O000135,2023-01-20,C0457,Customer 0457,New,Consumer,North,Delhi,Delhi,Furniture,Office Furniture,P001,Laptop Stand,3761.54,3,0.0,1626.03,2135.5,No,2023-01-20
O000136,2023-01-20,C0856,Customer 0856,New,Consumer,West,Madhya Pradesh,Indore,Furniture,Office Furniture,P001,Laptop Stand,4409.7,4,0.1,1899.43,2510.27,No,2023-01-20
O000021,2023-01-21,C0469,Customer 0469,New,Consumer,South,Telangana,Hyderabad,Technology,Accessories,P018,Noise Cancelling Headset,5677.05,1,0.05,2543.81,3133.23,No,2023-01-21
O000024,2023-01-21,C0189,Customer 0189,New,Consumer,West,Maharashtra,Pune,Technology,Accessories,P014,USB-C Hub,4337.91,2,0.05,1821.47,2516.44,No,2023-01-16
O000076,2023-01-21,C0526,Customer 0526,New,Consumer,South,Telangana,Hyderabad,Technology,Accessories,P011,Wireless Mouse,1126.01,1,0.0,450.39,675.62,No,2023-01-21
O000130,2023-01-21,C1151,Customer 1151,New,Consumer,West,Gujarat,Surat,Office Supplies,Lighting,P005,LED Desk Lamp,2590.35,2,0.1,1092.87,1497.49,No,2023-01-19
O000015,2023-01-22,C1209,Customer 1209,New,Consumer,West,Maharashtra,Pune,Furniture,Chairs,P002,Ergonomic Chair,7728.53,1,0.1,3564.92,4163.61,No,2023-01-22
O000043,2023-01-22,C0128,Customer 0128,New,Consumer,South,Kerala,Kochi,Office Supplies,Lighting,P005,LED Desk Lamp,1396.21,1,0.05,600.33,795.88,No,2023-01-22
O000061,2023-01-22,C1420,Customer 1420,New,Corporate,South,Tamil Nadu,Coimbatore,Technology,Accessories,P014,USB-C Hub,2255.65,1,0.0,951.25,1304.4,No,2023-01-22
O000073,2023-01-22,C0791,Customer 0791,New,Consumer,East,Odisha,Bhubaneswar,Office Supplies,Storage,P009,File Organizer,526.56,1,0.05,202.52,324.04,No,2023-01-22
O000111,2023-01-22,C1181,Customer 1181,New,Consumer,North,Rajasthan,Jaipur,Furniture,Chairs,P002,Ergonomic Chair,15474.5,2,0.1,7018.99,8455.51,No,2023-01-22
O000013,2023-01-23,C0113,Customer 0113,New,Consumer,South,Telangana,Hyderabad,Technology,Accessories,P014,USB-C Hub,3700.91,2,0.15,1548.54,2152.38,No,2023-01-23
O000022,2023-01-23,C1381,Customer 1381,New,Consumer,South,Telangana,Hyderabad,Technology,Storage,P017,External SSD 1TB,6594.39,1,0.1,3336.54,3257.85,No,2023-01-23
O000036,2023-01-23,C1319,Customer 1319,New,Consumer,East,Jharkhand,Ranchi,Technology,Accessories,P015,Webcam,3411.78,1,0.05,1469.51,1942.26,No,2023-01-23
O000123,2023-01-23,C0115,Customer 0115,New,Consumer,North,Uttar Pradesh,Lucknow,Furniture,Office Furniture,P001,Laptop Stand,2202.61,2,0.05,924.44,1278.17,No,2023-01-23
O000124,2023-01-23,C1165,Customer 1165,New,Consumer,South,Telangana,Hyderabad,Technology,Accessories,P015,Webcam,7241.0,2,0.05,3092.62,-207.42,Yes,2023-01-12
O000141,2023-01-23,C0811,Customer 0811,New,Small Business,East,Assam,Guwahati,Technology,Accessories,P015,Webcam,3272.88,1,0.05,1370.13,1902.75,No,2023-01-23
O000050,2023-01-24,C1263,Customer 1263,New,Consumer,West,Gujarat,Surat,Technology,Monitors,P013,27-inch Monitor,49695.75,3,0.1,24853.69,24842.06,No,2023-01-24
O000065,2023-01-24,C1012,Customer 1012,New,Corporate,East,Jharkhand,Ranchi,Technology,Accessories,P011,Wireless Mouse,1838.49,2,0.1,742.09,1096.4,No,2023-01-24
O000072,2023-01-24,C1090,Customer 1090,New,Corporate,South,Tamil Nadu,Chennai,Office Supplies,Writing,P010,Premium Pen Set,1102.22,2,0.15,443.31,658.91,No,2023-01-24
O000117,2023-01-24,C1359,Customer 1359,New,Consumer,East,Jharkhand,Ranchi,Office Supplies,Lighting,P005,LED Desk Lamp,5391.62,4,0.1,2345.24,3046.38,No,2023-01-24
O000062,2023-01-25,C0422,Customer 0422,New,Consumer,West,Maharashtra,Mumbai,Technology,Accessories,P012,Mechanical Keyboard,4950.05,2,0.1,2177.49,2772.56,No,2023-01-11
O000075,2023-01-25,C1259,Customer 1259,New,Corporate,East,Assam,Guwahati,Furniture,Storage,P004,Bookshelf,6556.73,1,0.1,3172.0,3384.73,No,2023-01-25
O000097,2023-01-25,C1172,Customer 1172,New,Consumer,South,Tamil Nadu,Chennai,Office Supplies,Paper,P006,Notebook Pack,368.27,1,0.1,134.03,234.24,No,2023-01-25
O000105,2023-01-25,C1081,Customer 1081,New,Consumer,East,Jharkhand,Ranchi,Office Supplies,Storage,P009,File Organizer,515.71,1,0.05,186.52,329.2,No,2023-01-25
O000071,2023-01-26,C0806,Customer 0806,New,Consumer,West,Gujarat,Surat,Technology,Storage,P017,External SSD 1TB,7529.56,1,0.05,3989.61,3539.95,No,2023-01-26
O000125,2023-01-26,C1354,Customer 1354,New,Corporate,East,Bihar,Patna,Technology,Accessories,P012,Mechanical Keyboard,2672.32,1,0.1,1179.78,1492.54,No,2023-01-26
O000026,2023-01-27,C1091,Customer 1091,New,Consumer,East,Bihar,Patna,Technology,Accessories,P018,Noise Cancelling Headset,15883.41,3,0.1,7286.39,8597.02,No,2023-01-27
O000037,2023-01-27,C1420,Customer 1420,New,Corporate,North,Chandigarh,Chandigarh,Furniture,Office Furniture,P001,Laptop Stand,1157.54,1,0.05,481.68,675.86,No,2023-01-22
O000098,2023-01-27,C0594,Customer 0594,New,Corporate,North,Uttarakhand,Dehradun,Technology,Accessories,P018,Noise Cancelling Headset,5418.28,1,0.1,2458.83,2959.44,No,2023-01-27
O000090,2023-01-28,C1283,Customer 1283,New,Corporate,East,Assam,Guwahati,Office Supplies,Paper,P006,Notebook Pack,342.79,1,0.15,118.59,224.2,No,2023-01-28
O000008,2023-01-29,C1050,Customer 1050,New,Corporate,North,Delhi,Delhi,Technology,Accessories,P012,Mechanical Keyboard,2383.03,1,0.1,1098.1,1284.92,No,2023-01-02
O000051,2023-01-29,C0667,Customer 0667,New,Consumer,West,Madhya Pradesh,Indore,Technology,Accessories,P014,USB-C Hub,1972.85,1,0.1,808.99,1163.86,No,2023-01-29
O000052,2023-01-29,C0877,Customer 0877,New,Corporate,North,Uttarakhand,Dehradun,Technology,Accessories,P011,Wireless Mouse,4419.02,4,0.05,1821.7,2597.32,No,2023-01-29
O000054,2023-01-29,C0302,Customer 0302,New,Consumer,South,Telangana,Hyderabad,Furniture,Chairs,P002,Ergonomic Chair,7313.23,1,0.1,3180.89,4132.34,No,2023-01-29
O000092,2023-01-29,C0652,Customer 0652,New,Consumer,North,Chandigarh,Chandigarh,Office Supplies,Lighting,P005,LED Desk Lamp,1233.6,1,0.1,514.72,718.88,No,2023-01-29
O000011,2023-01-30,C0859,Customer 0859,New,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Lighting,P005,LED Desk Lamp,3887.72,3,0.1,1669.23,2218.49,No,2023-01-30
O000030,2023-01-30,C0715,Customer 0715,New,Consumer,East,Odisha,Bhubaneswar,Office Supplies,Storage,P009,File Organizer,503.06,1,0.15,193.95,309.11,No,2023-01-30
O000049,2023-01-30,C0502,Customer 0502,New,Corporate,South,Tamil Nadu,Coimbatore,Technology,Accessories,P012,Mechanical Keyboard,5447.66,2,0.1,2435.37,3012.29,No,2023-01-30
O000086,2023-01-30,C0290,Customer 0290,New,Corporate,East,Bihar,Patna,Office Supplies,Paper,P006,Notebook Pack,682.66,2,0.2,245.33,437.33,No,2023-01-30
O000118,2023-01-30,C0908,Customer 0908,New,Corporate,South,Tamil Nadu,Chennai,Technology,Accessories,P014,USB-C Hub,2005.21,1,0.1,818.19,1187.02,No,2023-01-30
O000120,2023-01-30,C0803,Customer 0803,New,Small Business,North,Delhi,Delhi,Technology,Accessories,P014,USB-C Hub,4642.85,2,0.0,2012.01,2630.84,No,2023-01-30
O000010,2023-01-31,C0657,Customer 0657,New,Consumer,East,Bihar,Patna,Furniture,Office Furniture,P001,Laptop Stand,997.48,1,0.2,472.29,525.19,No,2023-01-31
O000020,2023-01-31,C0691,Customer 0691,New,Consumer,North,Uttarakhand,Dehradun,Technology,Accessories,P014,USB-C Hub,1940.35,1,0.1,773.71,1166.64,No,2023-01-31
O000023,2023-01-31,C1142,Customer 1142,New,Consumer,West,Gujarat,Surat,Technology,Accessories,P012,Mechanical Keyboard,2515.93,1,0.1,1049.22,1466.72,No,2023-01-31
O000100,2023-01-31,C0607,Customer 0607,New,Consumer,North,Rajasthan,Jaipur,Office Supplies,Writing,P010,Premium Pen Set,582.68,1,0.1,235.86,346.82,No,2023-01-31
O000145,2023-01-31,C1127,Customer 1127,New,Corporate,West,Madhya Pradesh,Indore,Office Supplies,Writing,P010,Premium Pen Set,588.99,1,0.1,225.77,363.22,No,2023-01-31
O000152,2023-02-01,C0563,Customer 0563,Repeat,Consumer,East,Bihar,Patna,Office Supplies,Storage,P009,File Organizer,564.34,1,0.05,207.73,356.6,No,2023-01-03
